message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A verified bank sends an account update that matches the user's past interaction history.,0.82,message_0243
msg_091,mute,scam,The incoming message attempts credential harvesting through a fraudulent code request matching previous reports.,0.89,message_0238
msg_090,digest,unknown,An unverified stranger sends a cold inquiry regarding a delivery mix up that can wait.,0.81,none
msg_048,mute,scam,The group message demands immediate payment via an unverified QR code resembling past reported fraud.,0.89,message_0151
msg_040,mute,forward,The user consistently dismisses repetitive chain forwards and has muted this family group.,0.85,message_0136
msg_075,notify,business_update,A verified ride booking service is sending a critical active route update that requires immediate attention.,0.89,message_0206
msg_005,notify,urgent,An active marketplace reservation requires immediate pickup confirmation to prevent release to another buyer.,0.89,message_0390
msg_104,mute,promotion,The sender is selling items repeatedly and the user has consistently dismissed similar offers.,0.86,message_0050;message_0224
msg_069,mute,forward,The user consistently mutes and dismisses repetitive chain forwards in this group.,0.85,message_0193;message_0042
msg_107,mute,scam,The incoming message asks for a verification code which indicates a clear credential harvesting scam attempt.,0.88,message_0213;message_0056
msg_070,mute,scam,"The message demands credentials through urgent threat tactics, indicating an obvious account security scam.",0.89,message_0369
msg_003,notify,business_update,A verified business provides a relevant delivery update matching the user history.,0.89,message_0031
msg_099,digest,event,The sender provided non-blocking meeting notes that can be reviewed later before the scheduled standup.,0.81,message_0227
msg_008,digest,business_update,A trusted business sent a routine review request that can wait for a batched summary.,0.83,message_0072
msg_092,digest,business_update,A verified card issuer sent a monthly statement update that can be reviewed later.,0.82,none
msg_060,notify,urgent,An official faculty deadline requires immediate action today based on the user's prior engagement.,0.89,message_0176
msg_004,notify,business_update,A verified healthcare provider is sending a transactional update matching the user's active relationship.,0.88,message_0245
msg_030,mute,promotion,The user muted this marketplace group and previously dismissed identical promotional listing posts.,0.84,message_0115
msg_045,notify,urgent,The delivery requires immediate gate access confirmation from the user to avoid disruption.,0.89,none
msg_052,mute,scam,An unverified new account is impersonating this brand from a mismatched domain with many recent reports.,0.91,none
msg_009,mute,personal,The group is muted by the user and the message discusses casual social chat.,0.85,message_0074
msg_071,digest,event,Family group chat scheduling update lacks immediate action urgency and can wait.,0.81,none
msg_016,mute,scam,The message uses coercive account blocking tactics and unverified login domains indicative of phishing.,0.88,message_0024
msg_065,digest,promotion,The promotional message matches a business the user has active membership with and previously engaged.,0.84,message_0261
msg_038,mute,forward,Chain forwards asking for mass reshares are low value content that the user consistently dismisses.,0.86,message_0131;message_0132
